algorithm,dataset,min,mean,max,std
BFS,graph500-22,30.44,32.87,35.11,2.00
BFS,datagen-7\_5-fb,33.20,34.32,36.05,1.20
BFS,datagen-7\_9-fb,62.32,69.31,80.59,8.00
BFS,cit-Patents,79.37,82.97,88.44,4.02
BFS,datagen-8\_8-zf,184.12,218.72,247.36,26.50
BFS,datagen-8\_4-fb,224.23,241.79,251.48,9.34
PageRank,datagen-7\_5-fb,38.60,39.98,43.88,2.02
PageRank,datagen-7\_9-fb,67.77,69.88,71.44,1.65
PageRank,graph500-22,75.87,78.38,81.21,2.04
PageRank,cit-Patents,76.20,85.10,88.41,4.45
PageRank,datagen-8\_4-fb,205.04,215.87,227.36,7.12
PageRank,datagen-8\_8-zf,223.81,245.95,258.35,11.81
SSSP,datagen-7\_5-fb,34.57,38.12,45.16,3.77
SSSP,datagen-7\_9-fb,60.92,76.50,94.05,14.17
SSSP,datagen-8\_8-zf,162.00,209.25,248.77,30.70
SSSP,datagen-8\_4-fb,234.95,255.83,264.24,11.53
WCC,datagen-7\_5-fb,33.54,36.77,38.80,1.94
WCC,datagen-7\_9-fb,62.89,66.34,72.11,3.28
WCC,graph500-22,66.38,72.05,82.57,7.97
WCC,cit-Patents,152.93,157.94,165.29,4.65
WCC,datagen-8\_4-fb,230.89,239.02,243.93,5.38
